project_id,industry,company_size,region,project_type,outcome,budget_usd_m,duration_months,primary_failure_reason,secondary_failure_reason,data_readiness_score,leadership_support_score,talent_score,change_mgmt_score,year_launched,roi_pct,has_dedicated_ai_team,used_external_vendor,has_data_governance
AIPROJ-1000,Healthcare,Small (<200),Asia-Pacific,Computer Vision,Partial Failure,0.48,21,Change Management Issues,No Clear Business Use Case,6,3,5,6,2024,60.3,True,False,False
AIPROJ-1001,Healthcare,Small (<200),Middle East & Africa,Recommendation Engine,Succeeded,0.1,18,Poor Data Quality,Lack of Skilled Talent,7,7,5,7,2019,114.3,True,False,True
AIPROJ-1002,Manufacturing,Mid-size (200-1000),Middle East & Africa,Process Automation,Failed,1.41,14,Poor Data Quality,Lack of Executive Sponsorship,5,4,4,2,2020,-33.2,False,True,True
AIPROJ-1003,Education,Mid-size (200-1000),Latin America,Process Automation,Partial Failure,0.77,15,Insufficient Budget,Poor Data Quality,6,4,2,1,2020,24.1,False,True,False
AIPROJ-1004,Education,Large (1000-5000),Asia-Pacific,Computer Vision,Failed,3.57,17,Change Management Issues,Model Performance Gaps,4,1,4,3,2019,-8.9,True,False,True
AIPROJ-1005,Healthcare,Enterprise (5000+),North America,Predictive Analytics,Failed,12.44,17,Regulatory/Compliance Hurdles,Insufficient Budget,4,1,3,5,2019,-16.4,False,False,False
AIPROJ-1006,Energy,Small (<200),Latin America,NLP/Chatbot,Failed,0.45,8,Vendor/Tech Dependency,Insufficient Budget,6,3,4,5,2024,-48.0,False,True,False
AIPROJ-1007,Government,Mid-size (200-1000),North America,NLP/Chatbot,Partial Failure,1.96,20,Change Management Issues,Regulatory/Compliance Hurdles,5,3,3,3,2019,25.7,True,False,False
AIPROJ-1008,Manufacturing,Small (<200),Latin America,Predictive Analytics,Failed,0.3,16,Siloed Organizational Structure,Regulatory/Compliance Hurdles,5,6,4,2,2020,-40.0,False,True,True
AIPROJ-1009,Government,Large (1000-5000),Europe,Generative AI,Failed,5.65,15,Insufficient Budget,Lack of Skilled Talent,2,3,7,3,2023,-47.2,False,True,True
AIPROJ-1010,Retail,Mid-size (200-1000),Europe,Recommendation Engine,Partial Failure,1.73,3,Model Performance Gaps,Insufficient Budget,5,3,4,4,2024,41.7,True,False,True
AIPROJ-1011,Manufacturing,Large (1000-5000),North America,Computer Vision,Partial Failure,2.52,12,Poor Data Quality,Model Performance Gaps,3,5,7,3,2022,43.3,True,True,True
AIPROJ-1012,Technology,Small (<200),Europe,Process Automation,Failed,0.3,24,Regulatory/Compliance Hurdles,Change Management Issues,5,5,3,6,2024,-58.0,False,True,False
AIPROJ-1013,Energy,Enterprise (5000+),Latin America,Computer Vision,Succeeded,11.78,29,Insufficient Budget,No Clear Business Use Case,7,7,7,8,2020,106.9,False,False,False
AIPROJ-1014,Technology,Enterprise (5000+),Middle East & Africa,Recommendation Engine,Failed,36.09,21,Regulatory/Compliance Hurdles,Change Management Issues,4,3,3,3,2020,-18.9,False,False,False
AIPROJ-1015,Energy,Small (<200),North America,Fraud Detection,Partial Failure,0.2,24,Lack of Skilled Talent,Change Management Issues,4,3,3,5,2024,54.4,False,False,False
AIPROJ-1016,Retail,Enterprise (5000+),Middle East & Africa,NLP/Chatbot,Ongoing (At Risk),8.79,19,Model Performance Gaps,Siloed Organizational Structure,3,6,6,2,2023,,False,True,True
AIPROJ-1017,Energy,Large (1000-5000),Middle East & Africa,Fraud Detection,Failed,4.93,21,Poor Data Quality,No Clear Business Use Case,5,5,6,1,2024,15.5,True,False,False
AIPROJ-1018,Technology,Large (1000-5000),North America,Predictive Analytics,Partial Failure,9.14,18,Model Performance Gaps,No Clear Business Use Case,6,5,10,4,2022,16.9,False,True,True
AIPROJ-1019,Financial Services,Large (1000-5000),Middle East & Africa,Fraud Detection,Succeeded,2.35,17,No Clear Business Use Case,Lack of Executive Sponsorship,7,7,6,6,2019,169.2,True,False,False
AIPROJ-1020,Technology,Mid-size (200-1000),Europe,Predictive Analytics,Failed,1.08,6,No Clear Business Use Case,Lack of Executive Sponsorship,3,5,5,2,2023,-26.5,False,False,True
AIPROJ-1021,Financial Services,Large (1000-5000),Latin America,NLP/Chatbot,Ongoing (At Risk),4.87,20,Lack of Skilled Talent,Model Performance Gaps,3,2,7,3,2021,,True,False,True
AIPROJ-1022,Manufacturing,Small (<200),Europe,Process Automation,Failed,0.42,19,Lack of Skilled Talent,No Clear Business Use Case,4,4,7,6,2024,-29.9,False,False,False
AIPROJ-1023,Energy,Small (<200),Middle East & Africa,Fraud Detection,Failed,0.45,18,No Clear Business Use Case,Change Management Issues,3,7,4,2,2024,-39.1,False,False,False
AIPROJ-1024,Energy,Mid-size (200-1000),Asia-Pacific,Process Automation,Failed,0.56,15,Lack of Executive Sponsorship,Model Performance Gaps,6,4,3,2,2020,-16.4,False,False,False
AIPROJ-1025,Manufacturing,Large (1000-5000),Latin America,Generative AI,Failed,5.29,13,Regulatory/Compliance Hurdles,Vendor/Tech Dependency,5,2,1,2,2023,-13.2,True,False,False
AIPROJ-1026,Energy,Small (<200),Europe,Computer Vision,Ongoing (At Risk),0.26,15,Lack of Skilled Talent,Model Performance Gaps,4,4,2,5,2019,,True,False,True
AIPROJ-1027,Manufacturing,Mid-size (200-1000),North America,NLP/Chatbot,Ongoing (At Risk),1.15,25,Poor Data Quality,Insufficient Budget,2,4,4,2,2019,,True,True,True
AIPROJ-1028,Financial Services,Large (1000-5000),North America,Process Automation,Succeeded,7.63,12,Change Management Issues,Regulatory/Compliance Hurdles,7,4,3,6,2024,95.1,True,False,False
AIPROJ-1029,Energy,Mid-size (200-1000),Middle East & Africa,Computer Vision,Succeeded,0.89,37,Lack of Executive Sponsorship,Siloed Organizational Structure,7,8,8,7,2020,182.0,False,False,True
AIPROJ-1030,Energy,Enterprise (5000+),Europe,NLP/Chatbot,Ongoing (At Risk),25.62,22,Lack of Skilled Talent,Siloed Organizational Structure,4,4,5,3,2021,,True,False,False
AIPROJ-1031,Education,Enterprise (5000+),Latin America,Fraud Detection,Failed,16.73,19,Poor Data Quality,No Clear Business Use Case,7,4,6,3,2019,-31.8,False,False,True
AIPROJ-1032,Education,Large (1000-5000),North America,Computer Vision,Succeeded,8.45,14,Change Management Issues,Insufficient Budget,7,7,8,6,2023,166.9,False,True,False
AIPROJ-1033,Energy,Mid-size (200-1000),Latin America,Computer Vision,Ongoing (At Risk),0.86,16,Insufficient Budget,Vendor/Tech Dependency,5,1,1,3,2020,,True,True,True
AIPROJ-1034,Healthcare,Enterprise (5000+),Middle East & Africa,NLP/Chatbot,Failed,45.74,16,Poor Data Quality,Lack of Executive Sponsorship,3,7,7,1,2019,-38.9,True,True,True
AIPROJ-1035,Healthcare,Mid-size (200-1000),Europe,Recommendation Engine,Succeeded,1.67,28,Siloed Organizational Structure,Vendor/Tech Dependency,7,7,5,6,2020,192.3,True,True,False
AIPROJ-1036,Education,Small (<200),Europe,Recommendation Engine,Ongoing (At Risk),0.13,9,Poor Data Quality,Siloed Organizational Structure,2,3,5,4,2021,,True,False,True
AIPROJ-1037,Energy,Large (1000-5000),Latin America,Generative AI,Partial Failure,4.03,26,Vendor/Tech Dependency,Siloed Organizational Structure,6,1,7,5,2020,56.1,False,False,False
AIPROJ-1038,Manufacturing,Large (1000-5000),Europe,NLP/Chatbot,Partial Failure,4.29,22,Lack of Executive Sponsorship,Vendor/Tech Dependency,3,4,5,5,2019,54.5,False,True,True
AIPROJ-1039,Government,Small (<200),North America,Process Automation,Failed,0.5,18,Siloed Organizational Structure,Lack of Executive Sponsorship,3,6,6,4,2023,-47.5,True,False,True
AIPROJ-1040,Retail,Small (<200),Middle East & Africa,NLP/Chatbot,Partial Failure,0.24,16,No Clear Business Use Case,Lack of Skilled Talent,3,4,6,6,2023,64.0,False,True,True
AIPROJ-1041,Healthcare,Mid-size (200-1000),Latin America,NLP/Chatbot,Failed,1.91,14,Lack of Executive Sponsorship,Change Management Issues,7,1,5,5,2023,-36.2,False,False,False
AIPROJ-1042,Financial Services,Small (<200),Latin America,Generative AI,Failed,0.34,10,Lack of Executive Sponsorship,Vendor/Tech Dependency,5,4,6,4,2021,-79.0,True,False,True
AIPROJ-1043,Technology,Mid-size (200-1000),Asia-Pacific,Computer Vision,Ongoing (At Risk),1.3,12,Insufficient Budget,Siloed Organizational Structure,4,4,8,4,2020,,False,True,True
AIPROJ-1044,Technology,Enterprise (5000+),Asia-Pacific,Fraud Detection,Partial Failure,10.81,18,Lack of Skilled Talent,Poor Data Quality,5,5,3,1,2022,70.6,True,False,True
AIPROJ-1045,Healthcare,Small (<200),Middle East & Africa,Computer Vision,Partial Failure,0.43,23,Vendor/Tech Dependency,Insufficient Budget,3,4,8,1,2020,31.9,False,False,False
AIPROJ-1046,Government,Small (<200),Europe,Predictive Analytics,Failed,0.15,7,Insufficient Budget,No Clear Business Use Case,6,5,5,4,2022,-73.4,False,False,True
AIPROJ-1047,Technology,Small (<200),Middle East & Africa,Predictive Analytics,Partial Failure,0.38,16,Lack of Skilled Talent,Change Management Issues,6,4,6,1,2021,69.1,True,True,True
AIPROJ-1048,Healthcare,Small (<200),Middle East & Africa,Computer Vision,Failed,0.15,20,Insufficient Budget,Regulatory/Compliance Hurdles,3,3,3,3,2023,-10.9,False,False,False
AIPROJ-1049,Manufacturing,Large (1000-5000),Europe,Generative AI,Failed,8.57,10,Insufficient Budget,Lack of Executive Sponsorship,2,4,4,1,2022,-19.7,False,True,False
AIPROJ-1050,Technology,Small (<200),North America,Generative AI,Ongoing (At Risk),0.12,21,Model Performance Gaps,Insufficient Budget,6,5,4,2,2019,,True,True,False
AIPROJ-1051,Financial Services,Large (1000-5000),Europe,Generative AI,Failed,8.08,21,Insufficient Budget,No Clear Business Use Case,7,4,6,2,2024,-20.6,True,False,False
AIPROJ-1052,Energy,Enterprise (5000+),Middle East & Africa,NLP/Chatbot,Partial Failure,15.91,21,Lack of Skilled Talent,No Clear Business Use Case,3,2,4,2,2024,78.7,False,True,True
AIPROJ-1053,Retail,Small (<200),Asia-Pacific,Process Automation,Partial Failure,0.39,23,Vendor/Tech Dependency,No Clear Business Use Case,7,6,1,5,2022,59.2,False,True,True
AIPROJ-1054,Retail,Small (<200),Asia-Pacific,Predictive Analytics,Succeeded,0.34,16,Poor Data Quality,Model Performance Gaps,7,7,4,6,2020,129.7,True,True,True
AIPROJ-1055,Manufacturing,Small (<200),Asia-Pacific,Fraud Detection,Succeeded,0.12,15,Vendor/Tech Dependency,Model Performance Gaps,8,7,9,7,2023,167.7,True,False,True
AIPROJ-1056,Retail,Mid-size (200-1000),Europe,Fraud Detection,Succeeded,0.78,22,No Clear Business Use Case,Siloed Organizational Structure,6,5,2,7,2019,155.4,True,True,True
AIPROJ-1057,Retail,Large (1000-5000),Latin America,Fraud Detection,Succeeded,4.57,12,Change Management Issues,Regulatory/Compliance Hurdles,5,9,9,4,2020,89.0,True,False,True
AIPROJ-1058,Healthcare,Enterprise (5000+),North America,Fraud Detection,Ongoing (At Risk),39.21,19,Siloed Organizational Structure,Change Management Issues,3,7,1,2,2020,,False,False,False
AIPROJ-1059,Energy,Large (1000-5000),Asia-Pacific,Fraud Detection,Partial Failure,9.46,22,Change Management Issues,Insufficient Budget,4,5,6,5,2019,57.8,False,True,False
AIPROJ-1060,Manufacturing,Enterprise (5000+),Asia-Pacific,Predictive Analytics,Ongoing (At Risk),28.54,23,Lack of Skilled Talent,Regulatory/Compliance Hurdles,4,6,4,1,2021,,False,False,True
AIPROJ-1061,Education,Large (1000-5000),North America,NLP/Chatbot,Partial Failure,6.62,11,Insufficient Budget,No Clear Business Use Case,2,1,4,4,2023,49.8,True,True,False
AIPROJ-1062,Technology,Small (<200),North America,Process Automation,Failed,0.16,8,Model Performance Gaps,Regulatory/Compliance Hurdles,5,6,7,4,2024,-39.7,True,True,False
AIPROJ-1063,Government,Enterprise (5000+),Middle East & Africa,Process Automation,Failed,14.2,20,Lack of Skilled Talent,Siloed Organizational Structure,4,6,4,4,2023,-74.9,False,False,False
AIPROJ-1064,Manufacturing,Large (1000-5000),North America,Generative AI,Succeeded,3.2,22,Model Performance Gaps,Poor Data Quality,8,6,7,8,2023,161.5,True,True,False
AIPROJ-1065,Manufacturing,Large (1000-5000),Latin America,NLP/Chatbot,Succeeded,4.74,29,Regulatory/Compliance Hurdles,Model Performance Gaps,7,6,7,5,2024,134.2,False,True,False
AIPROJ-1066,Healthcare,Large (1000-5000),Middle East & Africa,Predictive Analytics,Partial Failure,7.57,15,Model Performance Gaps,Regulatory/Compliance Hurdles,4,4,6,2,2022,18.2,False,False,False
AIPROJ-1067,Technology,Mid-size (200-1000),Europe,Recommendation Engine,Succeeded,0.68,29,Model Performance Gaps,No Clear Business Use Case,6,7,6,6,2023,95.6,True,True,True
AIPROJ-1068,Technology,Enterprise (5000+),Middle East & Africa,Fraud Detection,Failed,20.08,11,Poor Data Quality,Regulatory/Compliance Hurdles,2,1,7,4,2021,-55.8,False,True,False
AIPROJ-1069,Manufacturing,Enterprise (5000+),Middle East & Africa,Process Automation,Failed,46.07,10,Regulatory/Compliance Hurdles,Vendor/Tech Dependency,5,1,7,2,2022,-48.1,True,True,True
AIPROJ-1070,Energy,Mid-size (200-1000),Middle East & Africa,Recommendation Engine,Succeeded,0.72,13,No Clear Business Use Case,Lack of Skilled Talent,6,7,5,7,2021,117.9,False,True,False
AIPROJ-1071,Government,Small (<200),Europe,Generative AI,Failed,0.29,18,Insufficient Budget,Change Management Issues,2,6,6,5,2020,-9.2,False,False,False
AIPROJ-1072,Retail,Small (<200),North America,Computer Vision,Partial Failure,0.32,11,Siloed Organizational Structure,Lack of Skilled Talent,3,3,2,2,2022,22.8,True,False,False
AIPROJ-1073,Education,Mid-size (200-1000),Latin America,Recommendation Engine,Succeeded,1.11,28,Model Performance Gaps,Change Management Issues,5,8,5,5,2020,76.7,True,True,False
